epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_time
1,3.3690,0.1019,2.4770,0.2592,0.000050,57.84
2,2.3066,0.2893,1.6323,0.4673,0.000082,58.84
3,1.6262,0.4567,1.1859,0.6077,0.000132,61.40
4,1.2395,0.5791,0.9465,0.7086,0.000199,61.59
5,1.0627,0.6393,0.7811,0.7482,0.000280,61.12
6,0.9427,0.6768,0.8321,0.7144,0.000372,61.16
7,0.9293,0.6894,0.7368,0.7661,0.000470,60.92
8,0.9315,0.6905,0.8587,0.7640,0.000570,61.54
9,0.8967,0.7073,0.9042,0.7360,0.000669,61.30
10,0.9266,0.6942,0.8422,0.7339,0.000760,61.20
11,0.9127,0.6964,0.8803,0.7767,0.000841,61.76
12,0.8615,0.7110,0.7962,0.7650,0.000908,61.56
13,0.8277,0.7206,0.7108,0.7666,0.000959,61.70
14,0.7753,0.7411,0.7857,0.7793,0.000990,61.81
15,0.7862,0.7451,0.7378,0.7650,0.001000,61.51
16,0.7004,0.7626,0.4992,0.8596,0.000998,62.22
17,0.6533,0.7795,0.5785,0.8289,0.000992,61.85
18,0.5464,0.8003,0.5246,0.8252,0.000982,61.59
19,0.5412,0.8139,0.6130,0.8537,0.000968,61.76
20,0.5190,0.8221,0.5827,0.8738,0.000950,61.44
21,0.4810,0.8308,0.4508,0.8807,0.000929,61.29
22,0.4176,0.8562,0.5075,0.8844,0.000904,61.74
23,0.4254,0.8553,0.3871,0.8881,0.000876,61.58
24,0.3870,0.8667,0.5304,0.8791,0.000845,61.79
25,0.3624,0.8728,0.4543,0.8949,0.000812,61.76
26,0.3472,0.8828,0.4083,0.8997,0.000775,61.72
27,0.3128,0.8909,0.3692,0.9134,0.000737,61.83
28,0.2840,0.9018,0.3554,0.9118,0.000696,61.72
29,0.2763,0.8986,0.3222,0.9171,0.000654,61.80
30,0.2333,0.9142,0.2899,0.9356,0.000611,61.53
31,0.2351,0.9188,0.2713,0.9446,0.000567,61.46
32,0.1849,0.9296,0.2544,0.9393,0.000522,61.92
33,0.1693,0.9371,0.2513,0.9483,0.000477,61.66
34,0.1744,0.9370,0.2521,0.9472,0.000433,61.27
35,0.1785,0.9401,0.2299,0.9488,0.000389,62.00
36,0.1336,0.9504,0.2282,0.9493,0.000345,61.68
37,0.1371,0.9506,0.2331,0.9556,0.000303,61.39
38,0.1492,0.9458,0.2112,0.9551,0.000263,61.78
39,0.1227,0.9587,0.2108,0.9551,0.000224,61.31
40,0.1177,0.9555,0.2093,0.9652,0.000188,61.71
41,0.1024,0.9637,0.2314,0.9620,0.000154,61.44
42,0.0935,0.9631,0.2044,0.9652,0.000123,61.60
43,0.0942,0.9656,0.2037,0.9688,0.000095,61.33
44,0.0778,0.9691,0.2163,0.9652,0.000071,61.57
45,0.0800,0.9700,0.2264,0.9615,0.000049,61.79
46,0.0677,0.9761,0.2198,0.9620,0.000032,61.32
47,0.0758,0.9719,0.2102,0.9652,0.000018,61.81
48,0.0719,0.9723,0.2135,0.9657,0.000008,61.44
49,0.0635,0.9744,0.2074,0.9652,0.000002,61.87
50,0.0862,0.9719,0.2068,0.9667,0.000000,61.81
