relative_path,class,tumor_type,sequence,split,group_id
"Germ Cell Tumors/Germinoma pineal , frontal 001.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/Germinoma pineal , frontal 002.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/Germinoma pineal , frontal 003.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/Germinoma pineal , frontal 004.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/Germinoma pineal , frontal 005.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/Germinoma pineal , frontal 006.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/Germinoma pineal , frontal 001.jpg"
"Germ Cell Tumors/Germinoma pineal , frontal 007.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/Germinoma pineal , frontal 001.jpg"
Germ Cell Tumors/Parinaud syndrome - pineal germinoma pineal 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/Parinaud syndrome - pineal germinoma pineal 001.jpg
Germ Cell Tumors/Parinaud syndrome - pineal germinoma pineal 004.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/Parinaud syndrome - pineal germinoma pineal 004.jpg
Germ Cell Tumors/T1 - Basal ganglia germinoma 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Basal ganglia germinoma 001.jpg
Germ Cell Tumors/T1 - Basal ganglia germinoma 002.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Basal ganglia germinoma 001.jpg
Germ Cell Tumors/T1 - Basal ganglia germinoma 003.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Basal ganglia germinoma 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 002.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 003.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 004.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 005.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 006.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 007.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 008.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 009.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 010.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
Germ Cell Tumors/T1 - Bifocal germinoma pineal 011.jpg,Germ Cell Tumors,Germ Cell Tumors,,train,Germ Cell Tumors/T1 - Bifocal germinoma pineal 001.jpg
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 002.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 003.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 004.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 005.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 006.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 007.jpg",Germ Cell Tumors,Germ Cell Tumors,,train,"Germ Cell Tumors/T1 - Bifocal germinoma suprasellar , ventricle 001.jpg"
