epoch,train_loss,train_acc,val_loss,val_acc,val_loss_ema,val_acc_ema,lr,seconds
1,2.1645,0.3102,1.4648,0.4886,3.7524,0.0955,0.000025,63.85
2,1.5869,0.5067,1.0049,0.6556,3.0465,0.1405,0.000041,63.41
3,1.3530,0.5900,0.7670,0.7270,2.4134,0.2489,0.000066,63.43
4,1.1936,0.6493,0.7162,0.7554,1.8232,0.3894,0.000099,62.51
5,1.0528,0.7181,0.6374,0.8028,1.3486,0.5416,0.000140,62.31
6,0.9796,0.7423,0.4656,0.8577,1.0219,0.6476,0.000186,62.78
7,0.9311,0.7528,0.4515,0.8743,0.7967,0.7289,0.000235,62.82
8,0.9079,0.7702,0.4469,0.8657,0.6211,0.7893,0.000285,62.79
9,0.8866,0.7864,0.3814,0.8922,0.5045,0.8343,0.000334,62.53
10,0.8542,0.7996,0.4067,0.8879,0.4187,0.8737,0.000380,62.58
11,0.8434,0.7985,0.3600,0.8953,0.3600,0.8909,0.000421,62.34
12,0.8604,0.7679,0.3066,0.9217,0.3066,0.9076,0.000454,63.37
13,0.8463,0.7952,0.2702,0.9144,0.2702,0.9144,0.000479,62.37
14,0.8429,0.7810,0.2517,0.9193,0.2517,0.9193,0.000495,62.79
15,0.8053,0.7942,0.2381,0.9267,0.2381,0.9267,0.000500,62.58
16,0.7875,0.8139,0.2295,0.9341,0.2295,0.9341,0.000500,62.32
17,0.8283,0.8019,0.2314,0.9372,0.2314,0.9372,0.000499,62.54
18,0.7850,0.8356,0.2344,0.9359,0.2344,0.9359,0.000497,62.41
19,0.7671,0.8261,0.2461,0.9298,0.2461,0.9298,0.000495,63.00
20,0.7583,0.8619,0.2446,0.9304,0.2446,0.9304,0.000491,62.50
21,0.7665,0.8274,0.2387,0.9304,0.2387,0.9304,0.000488,62.72
22,0.7664,0.8289,0.2412,0.9335,0.2412,0.9335,0.000483,62.37
23,0.7500,0.8258,0.2417,0.9353,0.2417,0.9353,0.000478,62.90
24,0.7048,0.8480,0.2442,0.9335,0.2442,0.9335,0.000473,62.79
25,0.7658,0.8178,0.2518,0.9254,0.2518,0.9254,0.000466,62.84
26,0.7649,0.8178,0.2497,0.9335,0.2497,0.9335,0.000460,62.78
27,0.7289,0.8231,0.2500,0.9304,0.2500,0.9304,0.000452,62.63
28,0.7102,0.8537,0.2477,0.9310,0.2477,0.9310,0.000444,62.63
29,0.7001,0.8609,0.2451,0.9335,0.2451,0.9335,0.000436,65.78
30,0.7116,0.8367,0.2470,0.9328,0.2470,0.9328,0.000427,66.29
31,0.7444,0.8313,0.2461,0.9390,0.2461,0.9390,0.000417,62.94
